PSurf_Autumn,Rainf_Autumn,Snowf_Autumn,Tair_Autumn,Wind_Autumn,sand % topsoil,silt % topsoil,clay % topsoil,pH water topsoil,OC % topsoil,OC % subsoil,N % topsoil,N % subsoil,CEC topsoil,CaCO3 % topsoil,C/N topsoil
0.65127087,0.46192768,0.0,0.56793594,0.70335054,0.44381523,0.4978439,0.5425373,0.64506626,0.55772966,0.4233716,0.34754097,0.24812031,0.6021141,0.18630984,0.509915
0.6443391,0.4903634,0.0,0.5526924,0.7511592,0.5225871,0.4279862,0.45391187,0.74079525,0.45164943,0.33141756,0.32786882,0.108485505,0.45553198,0.6244639,0.5503845
0.6080446,0.40632352,0.0,0.5094776,0.6922276,0.5225871,0.4279862,0.45391187,0.74079525,0.45164943,0.33141756,0.32786882,0.108485505,0.45553198,0.6244639,0.5503845
0.64704466,0.45326802,0.0,0.48150253,0.23830616,0.44897443,0.43617937,0.6150223,0.6701031,0.6806274,0.5555555,0.6754098,0.51664877,0.5057082,0.29198834,0.5503845
0.687171,0.5380573,0.0,0.5984192,0.58262515,0.44897443,0.43617937,0.6150223,0.6701031,0.6806274,0.5555555,0.6754098,0.51664877,0.5057082,0.29198834,0.5503845
0.6864667,0.5583199,2.7886681e-08,0.56023026,0.5545908,0.44897443,0.43617937,0.6150223,0.6701031,0.6806274,0.5555555,0.6754098,0.51664877,0.5057082,0.29198834,0.5503845
0.6133251,0.81931627,2.7886681e-08,0.54498863,0.6272912,0.5225871,0.4279862,0.45391187,0.74079525,0.45164943,0.33141756,0.32786882,0.108485505,0.45553198,0.6244639,0.5503845
0.5916848,0.8420806,1.7606608e-08,0.47128868,0.39201713,0.5256071,0.3870203,0.5026265,0.70839477,0.625,0.39272028,0.45901638,0.108485505,0.4622974,0.4467319,0.5665722
0.6746087,0.45344356,0.0,0.4407196,0.039703965,0.17302127,0.8469167,0.7013,0.78055966,0.6676908,0.31609195,0.44590163,0.25886148,0.9832276,0.52736324,0.54229057
0.675961,0.2009385,0.0,0.67471504,0.50818324,0.17302127,0.8469167,0.7013,0.78055966,0.6676908,0.31609195,0.44590163,0.25886148,0.9832276,0.52736324,0.54229057
0.7283006,0.086922705,0.0,0.6162586,0.52573776,0.17302127,0.8469167,0.7013,0.78055966,0.6676908,0.31609195,0.44590163,0.25886148,0.9832276,0.52736324,0.54229057
0.69149923,0.36889902,0.0,0.5831795,0.490466,0.17302127,0.8469167,0.7013,0.78055966,0.6676908,0.31609195,0.44590163,0.25886148,0.9832276,0.52736324,0.54229057
0.6459694,0.40273675,0.0,0.5755577,0.48559248,0.5225871,0.4279862,0.45391187,0.74079525,0.45164943,0.33141756,0.32786882,0.108485505,0.45553198,0.6244639,0.5503845
0.5550318,0.49148437,0.0,0.49415207,0.49679065,0.5256071,0.3870203,0.5026265,0.70839477,0.625,0.39272028,0.45901638,0.108485505,0.4622974,0.4467319,0.5665722
0.6211057,0.30856237,0.0,0.47380066,0.20018601,0.44897443,0.43617937,0.6150223,0.6701031,0.6806274,0.5555555,0.6754098,0.51664877,0.5057082,0.29198834,0.5503845
0.63810015,0.20422915,0.0,0.7967415,0.47921133,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.6637926,0.18261972,0.0,0.7433891,0.48537374,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.72338104,0.25326017,0.0,0.6340141,0.48069334,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.66807127,0.44988814,0.0,0.58577347,0.48784435,0.5225871,0.4279862,0.45391187,0.74079525,0.45164943,0.33141756,0.32786882,0.108485505,0.45553198,0.6244639,0.5503845
0.6391778,0.5607848,0.0,0.5959072,0.4619547,0.5225871,0.4279862,0.45391187,0.74079525,0.45164943,0.33141756,0.32786882,0.108485505,0.45553198,0.6244639,0.5503845
0.55319357,0.64225686,1.7950326e-08,0.54247665,0.51947105,0.5256071,0.3870203,0.5026265,0.70839477,0.625,0.39272028,0.45901638,0.108485505,0.4622974,0.4467319,0.5665722
