PSurf_Spring,Rainf_Spring,Snowf_Spring,Tair_Spring,Wind_Spring,sand % topsoil,silt % topsoil,clay % topsoil,pH water topsoil,OC % topsoil,OC % subsoil,N % topsoil,N % subsoil,CEC topsoil,CaCO3 % topsoil,C/N topsoil
0.6406512,0.5513543,1.199759e-08,0.5692158,0.6713129,0.44381523,0.4978439,0.5425373,0.64506626,0.55772966,0.4233716,0.34754097,0.24812031,0.6021141,0.18630984,0.509915
0.6331496,0.69590485,0.0,0.5586586,0.7110611,0.5225871,0.4279862,0.45391187,0.74079525,0.45164943,0.33141756,0.32786882,0.108485505,0.45553198,0.6244639,0.5503845
0.5962038,0.5850593,0.0,0.5184994,0.6555177,0.5225871,0.4279862,0.45391187,0.74079525,0.45164943,0.33141756,0.32786882,0.108485505,0.45553198,0.6244639,0.5503845
0.63484955,0.5323467,0.0,0.49738312,0.19862497,0.44897443,0.43617937,0.6150223,0.6701031,0.6806274,0.5555555,0.6754098,0.51664877,0.5057082,0.29198834,0.5503845
0.6762042,0.71099913,0.0,0.6073742,0.55966294,0.44897443,0.43617937,0.6150223,0.6701031,0.6806274,0.5555555,0.6754098,0.51664877,0.5057082,0.29198834,0.5503845
0.6748719,0.8959546,0.0,0.57349205,0.5510942,0.44897443,0.43617937,0.6150223,0.6701031,0.6806274,0.5555555,0.6754098,0.51664877,0.5057082,0.29198834,0.5503845
0.6011033,1.0,6.6698393e-09,0.5608654,0.65856516,0.5225871,0.4279862,0.45391187,0.74079525,0.45164943,0.33141756,0.32786882,0.108485505,0.45553198,0.6244639,0.5503845
0.57888794,1.0,0.0,0.49103355,0.4018668,0.5256071,0.3870203,0.5026265,0.70839477,0.625,0.39272028,0.45901638,0.108485505,0.4622974,0.4467319,0.5665722
0.66175556,0.5309298,0.0,0.46778107,0.08155048,0.17302127,0.8469167,0.7013,0.78055966,0.6676908,0.31609195,0.44590163,0.25886148,0.9832276,0.52736324,0.54229057
0.6652298,0.29048163,0.0,0.6749973,0.5529038,0.17302127,0.8469167,0.7013,0.78055966,0.6676908,0.31609195,0.44590163,0.25886148,0.9832276,0.52736324,0.54229057
0.71680164,0.3600027,3.334818e-08,0.6242809,0.5179018,0.17302127,0.8469167,0.7013,0.78055966,0.6676908,0.31609195,0.44590163,0.25886148,0.9832276,0.52736324,0.54229057
0.6794772,0.362078,6.569509e-08,0.59895515,0.4928218,0.17302127,0.8469167,0.7013,0.78055966,0.6676908,0.31609195,0.44590163,0.25886148,0.9832276,0.52736324,0.54229057
0.63320255,0.5523528,7.30074e-08,0.58625793,0.5377146,0.5225871,0.4279862,0.45391187,0.74079525,0.45164943,0.33141756,0.32786882,0.108485505,0.45553198,0.6244639,0.5503845
0.5419674,0.5781182,8.642394e-08,0.52070427,0.55121505,0.5256071,0.3870203,0.5026265,0.70839477,0.625,0.39272028,0.45901638,0.108485505,0.4622974,0.4467319,0.5665722
0.6079993,1.0,3.627786e-08,0.5037327,0.2637521,0.44897443,0.43617937,0.6150223,0.6701031,0.6806274,0.5555555,0.6754098,0.51664877,0.5057082,0.29198834,0.5503845
0.62762594,0.709425,3.1771364e-08,0.7702217,0.5502883,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.6526141,0.8827416,1.8380492e-08,0.7342682,0.53788865,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
