PSurf_Summer,Rainf_Summer,Snowf_Summer,Tair_Summer,Wind_Summer,sand % topsoil,silt % topsoil,clay % topsoil,pH water topsoil,OC % topsoil,OC % subsoil,N % topsoil,N % subsoil,CEC topsoil,CaCO3 % topsoil,C/N topsoil
0.63984585,0.5532721,0.0,0.43821335,0.97524714,0.44381523,0.4978439,0.5425373,0.64506626,0.55772966,0.4233716,0.34754097,0.24812031,0.6021141,0.18630984,0.509915
0.6319299,0.44536823,0.0,0.3978672,0.9864484,0.5225871,0.4279862,0.45391187,0.74079525,0.45164943,0.33141756,0.32786882,0.108485505,0.45553198,0.6244639,0.5503845
0.59405184,0.63805604,0.0,0.32640266,0.88821936,0.5225871,0.4279862,0.45391187,0.74079525,0.45164943,0.33141756,0.32786882,0.108485505,0.45553198,0.6244639,0.5503845
0.6318035,0.4890542,0.0,0.26112175,0.5046028,0.44897443,0.43617937,0.6150223,0.6701031,0.6806274,0.5555555,0.6754098,0.51664877,0.5057082,0.29198834,0.5503845
0.6748419,0.32281473,0.0,0.50349236,0.84254396,0.44897443,0.43617937,0.6150223,0.6701031,0.6806274,0.5555555,0.6754098,0.51664877,0.5057082,0.29198834,0.5503845
0.67330456,0.2124156,0.0,0.44753838,0.78817856,0.44897443,0.43617937,0.6150223,0.6701031,0.6806274,0.5555555,0.6754098,0.51664877,0.5057082,0.29198834,0.5503845
0.59796286,0.36580428,0.0,0.41033745,0.7763058,0.5225871,0.4279862,0.45391187,0.74079525,0.45164943,0.33141756,0.32786882,0.108485505,0.45553198,0.6244639,0.5503845
0.5750599,0.9487262,0.0,0.32022095,0.5146737,0.5256071,0.3870203,0.5026265,0.70839477,0.625,0.39272028,0.45901638,0.108485505,0.4622974,0.4467319,0.5665722
0.6575813,0.67619556,0.0,0.2798748,0.25582087,0.17302127,0.8469167,0.7013,0.78055966,0.6676908,0.31609195,0.44590163,0.25886148,0.9832276,0.52736324,0.54229057
0.6626978,0.37895852,0.0,0.61530495,0.75887597,0.17302127,0.8469167,0.7013,0.78055966,0.6676908,0.31609195,0.44590163,0.25886148,0.9832276,0.52736324,0.54229057
0.7152524,0.2744934,0.0,0.5469837,0.75881183,0.17302127,0.8469167,0.7013,0.78055966,0.6676908,0.31609195,0.44590163,0.25886148,0.9832276,0.52736324,0.54229057
0.67749596,0.44875813,0.0,0.509779,0.68364644,0.17302127,0.8469167,0.7013,0.78055966,0.6676908,0.31609195,0.44590163,0.25886148,0.9832276,0.52736324,0.54229057
0.63009834,0.32690877,0.0,0.4849453,0.61219156,0.5225871,0.4279862,0.45391187,0.74079525,0.45164943,0.33141756,0.32786882,0.108485505,0.45553198,0.6244639,0.5503845
0.5374236,0.7650721,0.0,0.4011135,0.5186441,0.5256071,0.3870203,0.5026265,0.70839477,0.625,0.39272028,0.45901638,0.108485505,0.4622974,0.4467319,0.5665722
0.60330486,0.54767674,0.0,0.37941933,0.31178057,0.44897443,0.43617937,0.6150223,0.6701031,0.6806274,0.5555555,0.6754098,0.51664877,0.5057082,0.29198834,0.5503845
0.6232686,0.81480515,0.0,0.7518482,0.7102864,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.64925385,0.6358016,0.0,0.69913864,0.6923095,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.7092838,0.77386266,0.0,0.596653,0.6639987,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.6529298,0.16731632,0.0,0.5470829,0.6355361,0.5225871,0.4279862,0.45391187,0.74079525,0.45164943,0.33141756,0.32786882,0.108485505,0.45553198,0.6244639,0.5503845
0.62261057,0.16529936,0.0,0.5409012,0.5594678,0.5225871,0.4279862,0.45391187,0.74079525,0.45164943,0.33141756,0.32786882,0.108485505,0.45553198,0.6244639,0.5503845
0.53487587,0.2533243,0.0,0.4943714,0.5497407,0.5256071,0.3870203,0.5026265,0.70839477,0.625,0.39272028,0.45901638,0.108485505,0.4622974,0.4467319,0.5665722
0.48222017,0.21286467,0.0,0.44165993,0.38027072,0.5256071,0.3870203,0.5026265,0.70839477,0.625,0.39272028,0.45901638,0.108485505,0.4622974,0.4467319,0.5665722
0.6211591,0.4618677,0.0,0.78915405,0.73420227,0.0,0.23005605,0.18304676,0.0,0.16445668,0.42145592,0.25573766,0.377014,0.22776604,0.08406246,0.0
0.61713934,0.8115399,0.0,0.7519493,0.7080523,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.6915002,0.6486456,0.0,0.6526089,0.6511371,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.65613794,0.27825361,0.0,0.6092224,0.61196387,0.5225871,0.4279862,0.45391187,0.74079525,0.45164943,0.33141756,0.32786882,0.108485505,0.45553198,0.6244639,0.5503845
