PSurf_Winter,Rainf_Winter,Snowf_Winter,Tair_Winter,Wind_Winter,sand % topsoil,silt % topsoil,clay % topsoil,pH water topsoil,OC % topsoil,OC % subsoil,N % topsoil,N % subsoil,CEC topsoil,CaCO3 % topsoil,C/N topsoil
0.66252184,0.55090046,0.0,0.65400887,0.67876595,0.44381523,0.4978439,0.5425373,0.64506626,0.55772966,0.4233716,0.34754097,0.24812031,0.6021141,0.18630984,0.509915
0.6561842,0.62910736,3.702491e-08,0.65195847,0.64221865,0.5225871,0.4279862,0.45391187,0.74079525,0.45164943,0.33141756,0.32786882,0.108485505,0.45553198,0.6244639,0.5503845
0.6198797,0.6693684,0.0,0.6235714,0.571891,0.5225871,0.4279862,0.45391187,0.74079525,0.45164943,0.33141756,0.32786882,0.108485505,0.45553198,0.6244639,0.5503845
0.6597972,0.36220697,0.0,0.612669,0.23014301,0.44897443,0.43617937,0.6150223,0.6701031,0.6806274,0.5555555,0.6754098,0.51664877,0.5057082,0.29198834,0.5503845
0.699069,0.21499965,0.0,0.6583252,0.60236734,0.44897443,0.43617937,0.6150223,0.6701031,0.6806274,0.5555555,0.6754098,0.51664877,0.5057082,0.29198834,0.5503845
0.699183,0.30365625,2.1149665e-08,0.6385708,0.5077006,0.44897443,0.43617937,0.6150223,0.6701031,0.6806274,0.5555555,0.6754098,0.51664877,0.5057082,0.29198834,0.5503845
0.6259589,0.3710591,4.4108493e-08,0.6365204,0.5315028,0.5225871,0.4279862,0.45391187,0.74079525,0.45164943,0.33141756,0.32786882,0.108485505,0.45553198,0.6244639,0.5503845
0.6044364,0.5088017,5.2728623e-08,0.5752106,0.34228534,0.5256071,0.3870203,0.5026265,0.70839477,0.625,0.39272028,0.45901638,0.108485505,0.4622974,0.4467319,0.5665722
0.68858767,0.44541636,1.3066652e-07,0.55999374,0.077773154,0.17302127,0.8469167,0.7013,0.78055966,0.6676908,0.31609195,0.44590163,0.25886148,0.9832276,0.52736324,0.54229057
0.68701077,0.15555874,1.521558e-07,0.701931,0.622217,0.17302127,0.8469167,0.7013,0.78055966,0.6676908,0.31609195,0.44590163,0.25886148,0.9832276,0.52736324,0.54229057
0.7407646,0.18721917,4.8585743e-08,0.6537895,0.56208295,0.17302127,0.8469167,0.7013,0.78055966,0.6676908,0.31609195,0.44590163,0.25886148,0.9832276,0.52736324,0.54229057
0.7044263,0.45274344,2.706884e-08,0.63425255,0.47642833,0.17302127,0.8469167,0.7013,0.78055966,0.6676908,0.31609195,0.44590163,0.25886148,0.9832276,0.52736324,0.54229057
0.65903044,0.3465074,1.4071172e-08,0.6365204,0.45009273,0.5225871,0.4279862,0.45391187,0.74079525,0.45164943,0.33141756,0.32786882,0.108485505,0.45553198,0.6244639,0.5503845
0.5674443,0.4631228,2.7963972e-08,0.570673,0.43468863,0.5256071,0.3870203,0.5026265,0.70839477,0.625,0.39272028,0.45901638,0.108485505,0.4622974,0.4467319,0.5665722
0.6345186,0.47986296,1.550036e-07,0.55750465,0.2210291,0.44897443,0.43617937,0.6150223,0.6701031,0.6806274,0.5555555,0.6754098,0.51664877,0.5057082,0.29198834,0.5503845
0.6476412,0.43309978,1.2510752e-07,0.7875328,0.6305507,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.67451286,0.52315557,8.557924e-08,0.74121857,0.6040438,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.73565483,0.49493358,3.099028e-08,0.6469841,0.5510172,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.68062735,0.6870626,8.558708e-08,0.6142807,0.5051064,0.5225871,0.4279862,0.45391187,0.74079525,0.45164943,0.33141756,0.32786882,0.108485505,0.45553198,0.6244639,0.5503845
0.65194464,0.76564026,8.8501466e-08,0.6231346,0.46197444,0.5225871,0.4279862,0.45391187,0.74079525,0.45164943,0.33141756,0.32786882,0.108485505,0.45553198,0.6244639,0.5503845
0.5653448,0.8400928,1.593378e-07,0.5815754,0.4716459,0.5256071,0.3870203,0.5026265,0.70839477,0.625,0.39272028,0.45901638,0.108485505,0.4622974,0.4467319,0.5665722
0.51377153,0.7321156,1.3949344e-07,0.5313835,0.3019405,0.5256071,0.3870203,0.5026265,0.70839477,0.625,0.39272028,0.45901638,0.108485505,0.4622974,0.4467319,0.5665722
0.6461897,0.55972373,2.3991524e-07,0.7850437,0.656406,0.0,0.23005605,0.18304676,0.0,0.16445668,0.42145592,0.25573766,0.377014,0.22776604,0.08406246,0.0
0.6431923,0.2693946,2.151857e-07,0.7543869,0.66300184,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
