lon,lat,PSurf_Autumn,PSurf_Spring,PSurf_Summer,PSurf_Winter,Qair_Autumn,Qair_Spring,Qair_Summer,Qair_Winter,Rainf_Autumn,Rainf_Spring,Rainf_Summer,Rainf_Winter,Snowf_Autumn,Snowf_Spring,Snowf_Summer,Snowf_Winter,Tair_Autumn,Tair_Spring,Tair_Summer,Tair_Winter,Wind_Autumn,Wind_Spring,Wind_Summer,Wind_Winter,spatial_ref_Autumn,spatial_ref_Spring,spatial_ref_Summer,spatial_ref_Winter,sand % topsoil,sand % subsoil,silt % topsoil,silt% subsoil,clay % topsoil,clay % subsoil,pH water topsoil,pH water subsoil,OC % topsoil,OC % subsoil,N % topsoil,N % subsoil,BS % topsoil,BS % subsoil,CEC topsoil,CEC subsoil,CEC clay topsoil,CEC Clay subsoil,CaCO3 % topsoil,CaCO3 % subsoil,BD topsoil,BD subsoil,C/N topsoil,C/N subsoil
-8.25,27.25,96395.8046875,96220.1171875,96089.1640625,96951.46875,0.005245315842330456,0.004590413998812437,0.006672621238976717,0.004073966294527054,3.1723816391604487e-06,3.4626764318090864e-06,1.4643658232671442e-06,2.0340760329418117e-06,0.0,1.1997589588474966e-08,0.0,0.0,296.98626708984375,296.43152,303.6358642578125,288.727783203125,4.181661128997803,4.901963233947754,5.482650279998779,4.284485340118408,0.0,0.0,0.0,0.0,51.8,45.83000183105469,26.09000015258789,29.85,22.11,24.17,7.22,7.36,0.5830000042915344,0.335999995470047,0.063,0.033,83.5,89.4,12.579999923706055,11.9399995803833,57.1,46.8,5.460000038146973,7.820000171661377,1.38,1.37,9.800000190734863,9.9
-8.25,27.75,96290.09375,96105.7109375,95972.9765625,96852.1875,0.005159582942724228,0.004533765837550163,0.0066519929096102715,0.004015845712274313,3.276613597336109e-06,3.9174678931885865e-06,1.2105856512789614e-06,2.1864391328563215e-06,0.0,0.0,0.0,3.70249111369958e-08,296.7862548828125,296.26523,303.2032470703125,288.6966552734375,4.275720596313477,4.985942363739014,5.514913558959961,4.187330722808838,0.0,0.0,0.0,0.0,58.06,49.90999984741211,22.850000381469727,26.31,19.09,23.43,7.87,7.9,0.5009999871253967,0.2879999876022339,0.06,0.02,90.7,97.0,9.979999542236328,10.3100004196167,57.8,44.8,18.229999542236328,26.540000915527344,1.48,1.43,10.300000190734863,10.8
-8.25,28.25,95736.578125,95542.2421875,95417.03125,96283.453125,0.004981784615665674,0.00428758142516017,0.006405926775187254,0.0037948344834148884,2.9685627396247583e-06,3.5687207855517045e-06,1.6637700355204288e-06,2.264876002300298e-06,0.0,0.0,0.0,0.0,296.21923828125,295.63263,302.43695068359375,288.26556396484375,4.159777641296387,4.86859130859375,5.231980800628662,4.0003767013549805,0.0,0.0,0.0,0.0,58.06,49.90999984741211,22.850000381469727,26.31,19.09,23.43,7.87,7.9,0.5009999871253967,0.2879999876022339,0.06,0.02,90.7,97.0,9.979999542236328,10.3100004196167,57.8,44.8,18.229999542236328,26.540000915527344,1.48,1.43,10.300000190734863,10.8
-8.25,28.75,96331.3515625,96131.6328125,95971.125,96908.78125,0.004587848205119371,0.0037746098823845387,0.00552538875490427,0.003525068750604987,3.1406393645738717e-06,3.4028741993097356e-06,1.3133311540514114e-06,1.6664622535245144e-06,0.0,0.0,0.0,0.0,295.8521728515625,295.3,301.7369689941406,288.0999755859375,3.26672625541687,3.9032769203186035,4.127034664154053,3.0918991565704346,0.0,0.0,0.0,0.0,52.21,48.31999969482422,23.229999542236328,24.32,24.58,27.24,7.39,7.46,0.6779999732971191,0.4050000011920929,0.113,0.058,87.3,91.5,10.869999885559082,10.0600004196167,56.7,45.8,8.539999961853027,11.319999694824219,1.42,1.38,10.300000190734863,10.8
-7.75,27.25,96943.3046875,96762.34375,96602.8125,97524.0,0.005195657256990671,0.004342328757047653,0.006223785225301981,0.004073623567819595,3.451437123658252e-06,3.964958068536362e-06,9.223508072864206e-07,1.379672085022321e-06,0.0,0.0,0.0,0.0,297.3862609863281,297.03262,304.3358459472656,288.7933349609375,3.9441442489624023,4.666070938110352,5.100419998168945,4.081392765045166,0.0,0.0,0.0,0.0,52.21,48.31999969482422,23.229999542236328,24.32,24.58,27.24,7.39,7.46,0.6779999732971191,0.4050000011920929,0.113,0.058,87.3,91.5,10.869999885559082,10.0600004196167,56.7,45.8,8.539999961853027,11.319999694824219,1.42,1.38,10.300000190734863,10.8
-7.75,27.75,96932.5703125,96742.0234375,96580.25,97525.78125,0.004981823731213808,0.004133782349526882,0.0060187699273228645,0.003977770917117596,3.5257105537311872e-06,4.546873242361471e-06,6.627020070482104e-07,1.5523934280281537e-06,2.7886681852606898e-08,0.0,0.0,2.114966513033778e-08,296.8851623535156,296.4989,303.7358703613281,288.49334716796875,3.888989210128784,4.647967338562012,4.94382905960083,3.829737901687622,0.0,0.0,0.0,0.0,52.21,48.31999969482422,23.229999542236328,24.32,24.58,27.24,7.39,7.46,0.6779999732971191,0.4050000011920929,0.113,0.058,87.3,91.5,10.869999885559082,10.0600004196167,56.7,45.8,8.539999961853027,11.319999694824219,1.42,1.38,10.300000190734863,10.8
-7.75,28.25,95817.109375,95616.9609375,95474.4296875,96378.6875,0.004848578944802284,0.003906606696546078,0.005742561537772417,0.003757160622626543,4.482400527194841e-06,4.874225567164103e-06,1.0234583669443964e-06,1.683707978372695e-06,2.7886681852606898e-08,6.669839347495099e-09,0.0,4.4108492858185855e-08,296.6851806640625,296.3,303.33697509765625,288.46221923828125,4.0320210456848145,4.875029563903809,4.909631729125977,3.8930115699768066,0.0,0.0,0.0,0.0,58.06,49.90999984741211,22.850000381469727,26.31,19.09,23.43,7.87,7.9,0.5009999871253967,0.2879999876022339,0.06,0.02,90.7,97.0,9.979999542236328,10.3100004196167,57.8,44.8,18.229999542236328,26.540000915527344,1.48,1.43,10.300000190734863,10.8
-7.75,28.75,95487.078125,95278.1484375,95138.2734375,96041.5234375,0.0044014183804392815,0.0033946989569813013,0.005105809774249792,0.0033606316428631544,4.565843937598402e-06,4.874225567164103e-06,2.3944382974150358e-06,1.9520589376043063e-06,1.760660772731626e-08,0.0,0.0,5.272862324545713e-08,295.7181396484375,295.19998,302.37066650390625,287.5311279296875,3.5691394805908203,4.3326826095581055,4.156042575836182,3.390010118484497,0.0,0.0,0.0,0.0,58.3,51.650001525878906,20.950000762939453,23.65,20.75,24.45,7.65,7.7,0.6349999904632568,0.3199999928474426,0.08,0.02,84.5,95.0,10.100000381469727,9.649999618530273,57.0,40.0,13.050000190734863,19.100000381469727,1.4,1.45,10.5,10.0
-7.75,29.25,96751.7265625,96541.984375,96349.4765625,97359.8046875,0.003961558919399977,0.0029911960009485483,0.004310908727347851,0.003065897151827812,3.141282832075376e-06,3.3984163110289956e-06,1.7534707694721874e-06,1.8285712712895474e-06,0.0,0.0,0.0,1.3066652115867328e-07,295.3170471191406,294.83368,301.93804931640625,287.3000183105469,2.875993490219116,3.6559243202209473,3.410458564758301,2.6868503093719482,0.0,0.0,0.0,0.0,30.28,37.65999984741211,42.279998779296875,37.42,27.52,24.92,8.14,8.26,0.6679999828338623,0.2800000011920929,0.078,0.034,99.2,99.2,19.34000015258789,16.65999984741211,55.8,48.8,15.399999618530273,17.15999984741211,1.5,1.36,10.199999809265137,10.6
-7.25,26.75,96772.3515625,96594.96875,96424.5703125,97335.1015625,0.0052228751592338085,0.0041822995990514755,0.005775834899395704,0.0038628443144261837,2.2157175862957956e-06,2.6419077130412916e-06,1.0543959660935798e-06,1.263868966816517e-06,0.0,0.0,0.0,1.5215580617677915e-07,298.3873596191406,298.09784,305.5347900390625,289.45556640625,3.7976863384246826,4.651790618896484,4.8594279289245605,4.134159564971924,0.0,0.0,0.0,0.0,30.28,37.65999984741211,42.279998779296875,37.42,27.52,24.92,8.14,8.26,0.6679999828338623,0.2800000011920929,0.078,0.034,99.2,99.2,19.34000015258789,16.65999984741211,55.8,48.8,15.399999618530273,17.15999984741211,1.5,1.36,10.199999809265137,10.6
